Rates,Release,Project,Total
0.0,11,BOOKKEEPER,22
0.01,11,BOOKKEEPER,22
0.05,7,BOOKKEEPER,22
0.1,6,BOOKKEEPER,22
0.25,6,BOOKKEEPER,22
0.5,2,BOOKKEEPER,22
0.0,116,CONNECTORS,118
0.01,109,CONNECTORS,118
0.05,76,CONNECTORS,118
0.1,56,CONNECTORS,118
0.25,39,CONNECTORS,118
0.5,33,CONNECTORS,118
0.0,10,CRUNCH,17
0.01,10,CRUNCH,17
0.05,9,CRUNCH,17
0.1,5,CRUNCH,17
0.25,4,CRUNCH,17
0.5,2,CRUNCH,17
0.0,19,SYNCOPE,48
0.01,16,SYNCOPE,48
0.05,14,SYNCOPE,48
0.1,14,SYNCOPE,48
0.25,13,SYNCOPE,48
0.5,13,SYNCOPE,48
0.0,5,TAJO,13
0.01,5,TAJO,13
0.05,3,TAJO,13
0.1,3,TAJO,13
0.25,3,TAJO,13
0.5,3,TAJO,13
0.0,30,TEZ,34
0.01,30,TEZ,34
0.05,29,TEZ,34
0.1,14,TEZ,34
0.25,9,TEZ,34
0.5,5,TEZ,34
0.0,42,AVRO,46
0.01,37,AVRO,46
0.05,11,AVRO,46
0.1,7,AVRO,46
0.25,5,AVRO,46
0.5,3,AVRO,46
0.0,6,CHUKWA,11
0.01,6,CHUKWA,11
0.05,6,CHUKWA,11
0.1,6,CHUKWA,11
0.25,6,CHUKWA,11
0.5,6,CHUKWA,11
0.0,27,FALCON,31
0.01,27,FALCON,31
0.05,23,FALCON,31
0.1,20,FALCON,31
0.25,9,FALCON,31
0.5,5,FALCON,31
0.0,8,GIRAPH,10
0.01,8,GIRAPH,10
0.05,8,GIRAPH,10
0.1,6,GIRAPH,10
0.25,5,GIRAPH,10
0.5,5,GIRAPH,10
0.0,16,IVY,17
0.01,16,IVY,17
0.05,14,IVY,17
0.1,9,IVY,17
0.25,3,IVY,17
0.5,3,IVY,17
0.0,22,OPENJPA,31
0.01,22,OPENJPA,31
0.05,14,OPENJPA,31
0.1,9,OPENJPA,31
0.25,6,OPENJPA,31
0.5,4,OPENJPA,31
0.0,13,PROTON,51
0.01,13,PROTON,51
0.05,4,PROTON,51
0.1,4,PROTON,51
0.25,4,PROTON,51
0.5,3,PROTON,51
0.0,16,SSHD,26
0.01,16,SSHD,26
0.05,16,SSHD,26
0.1,15,SSHD,26
0.25,8,SSHD,26
0.5,6,SSHD,26
0.0,18,STORM,36
0.01,18,STORM,36
0.05,18,STORM,36
0.1,18,STORM,36
0.25,12,STORM,36
0.5,9,STORM,36
0.0,11,THRIFT,12
0.01,11,THRIFT,12
0.05,11,THRIFT,12
0.1,11,THRIFT,12
0.25,7,THRIFT,12
0.5,7,THRIFT,12
0.0,21,TOMEE,22
0.01,20,TOMEE,22
0.05,16,TOMEE,22
0.1,14,TOMEE,22
0.25,9,TOMEE,22
0.5,2,TOMEE,22
0.0,5,WHIRR,8
0.01,5,WHIRR,8
0.05,5,WHIRR,8
0.1,5,WHIRR,8
0.25,4,WHIRR,8
0.5,3,WHIRR,8
0.0,10,ZEPPELIN,14
0.01,10,ZEPPELIN,14
0.05,10,ZEPPELIN,14
0.1,7,ZEPPELIN,14
0.25,6,ZEPPELIN,14
0.5,2,ZEPPELIN,14
0.0,41,ZOOKEEPER,49
0.01,41,ZOOKEEPER,49
0.05,32,ZOOKEEPER,49
0.1,24,ZOOKEEPER,49
0.25,23,ZOOKEEPER,49
0.5,12,ZOOKEEPER,49
